epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.1212,0.92127,0.97,1,0.1055,0.00031,0.00031,0.00031
2,26.0793,0.14449,0.964,1,0.11017,0.000625842,0.000625842,0.000625842
3,34.5488,0.17197,0.928,1,0.20911,0.00093746,0.00093746,0.00093746
4,45.3412,0.20622,0.884,0.998,0.35999,0.0009802,0.0009802,0.0009802
5,54.4017,0.2619,0.93,1,0.2688,0.0009736,0.0009736,0.0009736
6,65.092,0.20205,0.95,1,0.15894,0.000967,0.000967,0.000967
7,76.9777,0.16245,0.95,1,0.13812,0.0009604,0.0009604,0.0009604
8,84.8918,0.16486,0.956,1,0.11197,0.0009538,0.0009538,0.0009538
9,96.7545,0.13513,0.962,1,0.13464,0.0009472,0.0009472,0.0009472
10,106.865,0.14188,0.956,1,0.13809,0.0009406,0.0009406,0.0009406
11,117.506,0.15604,0.974,1,0.08014,0.000934,0.000934,0.000934
12,128.93,0.12955,0.954,1,0.13242,0.0009274,0.0009274,0.0009274
13,140.438,0.12899,0.974,1,0.07321,0.0009208,0.0009208,0.0009208
14,150.05,0.11242,0.978,1,0.07919,0.0009142,0.0009142,0.0009142
15,159.875,0.10301,0.958,1,0.14728,0.0009076,0.0009076,0.0009076
16,170.326,0.10304,0.976,1,0.09369,0.000901,0.000901,0.000901
17,176.247,0.10613,0.97,1,0.07123,0.0008944,0.0008944,0.0008944
18,185.411,0.08558,0.944,1,0.17688,0.0008878,0.0008878,0.0008878
19,193.679,0.08112,0.976,1,0.08484,0.0008812,0.0008812,0.0008812
20,200.945,0.12983,0.962,1,0.12808,0.0008746,0.0008746,0.0008746
21,208.041,0.12292,0.962,1,0.1731,0.000868,0.000868,0.000868
22,221.024,0.08487,0.974,1,0.07663,0.0008614,0.0008614,0.0008614
23,231.989,0.07624,0.974,1,0.09702,0.0008548,0.0008548,0.0008548
24,242.592,0.06407,0.98,1,0.06099,0.0008482,0.0008482,0.0008482
25,250.391,0.07443,0.97,1,0.09439,0.0008416,0.0008416,0.0008416
26,258.642,0.0865,0.986,1,0.05157,0.000835,0.000835,0.000835
27,268.589,0.07742,0.976,1,0.10367,0.0008284,0.0008284,0.0008284
28,278.338,0.06964,0.974,1,0.07599,0.0008218,0.0008218,0.0008218
29,285.838,0.05925,0.958,0.998,0.16864,0.0008152,0.0008152,0.0008152
30,295.318,0.06076,0.968,1,0.08453,0.0008086,0.0008086,0.0008086
31,307.004,0.07573,0.956,1,0.12195,0.000802,0.000802,0.000802
32,314.27,0.08056,0.966,1,0.11179,0.0007954,0.0007954,0.0007954
33,323.025,0.05356,0.984,1,0.05537,0.0007888,0.0007888,0.0007888
34,333.619,0.06014,0.98,1,0.06662,0.0007822,0.0007822,0.0007822
35,344.133,0.05084,0.978,1,0.07852,0.0007756,0.0007756,0.0007756
36,352.006,0.05767,0.982,1,0.07883,0.000769,0.000769,0.000769
37,363.983,0.04681,0.978,1,0.06445,0.0007624,0.0007624,0.0007624
38,373.97,0.05503,0.984,1,0.04543,0.0007558,0.0007558,0.0007558
39,384.128,0.0786,0.966,1,0.09747,0.0007492,0.0007492,0.0007492
40,392.177,0.07359,0.968,1,0.07921,0.0007426,0.0007426,0.0007426
41,401.871,0.04786,0.968,1,0.08524,0.000736,0.000736,0.000736
42,411.038,0.05711,0.96,1,0.11649,0.0007294,0.0007294,0.0007294
43,421.444,0.05712,0.98,1,0.07422,0.0007228,0.0007228,0.0007228
44,432.125,0.0574,0.986,1,0.06085,0.0007162,0.0007162,0.0007162
